price,sqft_living,grade,yr_built,zipcode
0.0,1180,7,1955,98178
2.0,2570,7,1951,98125
0.0,770,6,1933,98028
2.0,1960,7,1965,98136
2.0,1680,8,1987,98074
3.0,5420,11,2001,98053
0.0,1715,7,1995,98003
0.0,1060,7,1963,98198
0.0,1780,7,1960,98146
1.0,1890,7,2003,98038
3.0,3560,8,1965,98007
2.0,1160,7,1942,98115
0.0,1430,7,1927,98028
1.0,1370,7,1977,98074
2.0,1810,7,1900,98107
3.0,2950,9,1979,98126
1.0,1890,7,1994,98019
2.0,1600,7,1916,98103
0.0,1200,7,1921,98002
0.0,1250,7,1969,98003
1.0,1620,7,1947,98133
3.0,3050,9,1968,98040
0.0,2270,8,1995,98092
0.0,1070,7,1985,98030
1.0,2450,8,1985,98030
0.0,1710,6,1941,98002
3.0,2450,8,1915,98119
3.0,1400,8,1909,98112
1.0,1520,7,1948,98115
3.0,2570,8,2005,98052
2.0,2320,8,2003,98027
0.0,1190,7,2005,98133
3.0,2330,7,1929,98117
2.0,1090,8,1929,98117
1.0,2060,7,1981,98058
3.0,2300,8,1930,98115
2.0,1660,5,1933,98052
2.0,2360,8,1904,98107
0.0,1220,7,1969,98001
2.0,2620,8,1996,98056
2.0,2570,9,2000,98074
3.0,4220,8,1984,98166
3.0,3595,9,2014,98053
3.0,1570,7,1922,98119
0.0,1280,6,1959,98058
2.0,3160,8,2003,98019
0.0,990,6,1966,98023
3.0,2290,9,1981,98007
2.0,1250,7,1953,98115
3.0,2753,9,1953,98070
0.0,1190,7,1955,98148
1.0,3150,8,1966,98056
2.0,1410,7,1950,98117
2.0,1980,7,1981,98117
3.0,2730,8,1927,98105
3.0,2830,9,1995,98105
0.0,2250,7,2008,98042
0.0,2420,8,2003,98042
3.0,3250,8,1968,98008
1.0,1850,8,1991,98059
3.0,2150,8,1959,98166
0.0,1260,7,1954,98148
2.0,2519,8,1973,98166
2.0,1540,8,2014,98115
1.0,1660,7,1979,98122
0.0,2770,7,1925,98144
3.0,2720,10,1989,98004
0.0,2240,7,2005,98001
0.0,1000,7,1968,98042
3.0,3200,8,1965,98004
3.0,4770,11,1973,98005
1.0,1260,7,1972,98034
2.0,2750,7,1916,98125
1.0,2380,8,2005,98038
1.0,1790,7,1965,98042
3.0,3430,10,1986,98075
1.0,1760,7,1956,98008
2.0,1040,7,1941,98116
1.0,1410,7,1956,98133
3.0,3450,10,2002,98010
1.0,2350,8,2003,98038
1.0,1900,7,1992,98038
1.0,2020,7,1948,98118
1.0,1680,8,1964,98059
0.0,960,6,1952,98125
3.0,2140,9,1925,98119
0.0,2660,7,1961,98092
2.0,2770,9,2006,98056
0.0,1610,7,1979,98056
1.0,1030,7,2006,98136
0.0,1980,7,1988,98023
3.0,3520,10,2001,98199
0.0,1200,7,1962,98023
1.0,1580,8,1939,98117
3.0,1580,8,1939,98117
3.0,3300,7,1946,98040
0.0,1960,7,1967,98032
0.0,1160,7,1975,98023
0.0,1810,7,1980,98038
1.0,2320,9,1992,98045
3.0,2070,9,1910,98102
2.0,1980,7,1929,98117
3.0,2190,8,1983,98077
3.0,2920,8,1950,98004
0.0,1210,7,1954,98058
1.0,2340,8,1978,98058
2.0,1670,7,1939,98117
0.0,1240,8,1985,98198
3.0,3140,10,1991,98077
